:displayName English

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Inhabited planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'choiceText	'Donate [-100 organics, receive objects of low value]	'Donate [-100 organics, receive objects of low value]	100		'881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab

'1 Pi Capitaalo planet, want organics.prefab
'text2	'Trade completed. The elites have secured new plants and seeds for their underground greenhouses, but rest of the local population will probably slowly die off together with what remains of the biosphere.	'Trade completed. The elites have secured new plants and seeds for their underground greenhouses, but rest of the local population will probably slowly die off together with what remains of the biosphere.	400		'910973342:dlc2/1 Pi Capitaalo planet, want organics.prefab
'text	'We've contacted a Capitaalo colony. They are a quasi-primitive civilization, and this colony seems to be on the verge of collapse. It seems industrial activity has nearly destroyed tthe ecosphere of their planet. Some of the wealthier elites want to buy new plants and seeds from us (for their personal undergound bunker greenhouses). The only thing they have in abundance is gold, and they offer to pay with it.	'We've contacted a Capitaalo colony. They are a quasi-primitive civilization, and this colony seems to be on the verge of collapse. It seems industrial activity has nearly destroyed tthe ecosphere of their planet. Some of the wealthier elites want to buy new plants and seeds from us (for their personal undergound bunker greenhouses). The only thing they have in abundance is gold, and they offer to pay with it.	400		'1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab
'choiceText	'Trade [-100 organics for 200 metals]	'Trade [-100 organics for 200 metals]	100		'1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab

'1 Pi Capitaalo planet, want synth.prefab
'title	'Capitaalo Colony	'Capitaalo Colony	35		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'text	'We've found and contacted a Capitaalo colony. They are a fragmented, quasi-primitive civilization, obsessed with their ancient currency system and its organizing principles. The colony leaders propose a trade, they want some of our advanced materials in exchange for the munitions they produce.	'We've found and contacted a Capitaalo colony. They are a fragmented, quasi-primitive civilization, obsessed with their ancient currency system and its organizing principles. The colony leaders propose a trade, they want some of our advanced materials in exchange for the munitions they produce.	400		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'choiceText	'Trade [-100 synthetics for 200 explosives]	'Trade [-100 synthetics for 200 explosives]	100		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'newName3	'Capitaalo colony	'Capitaalo colony	25		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'title	'Delays and issues	'Delays and issues	35		'805075097:dlc2/1 Pi Capitaalo planet, want synth.prefab
'text2	'Delivery of the explosives was delayed. When the explosives finally arrived, some turned out to be the wrong type, not suitable for our purposes. Ultimately, the Capitaalo negotiator provided extra organics to make up for the issues.	'Delivery of the explosives was delayed. When the explosives finally arrived, some turned out to be the wrong type, not suitable for our purposes. Ultimately, the Capitaalo negotiator provided extra organics to make up for the issues.	400		'805075097:dlc2/1 Pi Capitaalo planet, want synth.prefab

'2 Pi Phobian planet 1, want credits.prefab
'text2	'The Phobians delivered tons and tons of explosives from grenades to primitive capital missiles. Recycling them yielded some extra materials.	'The Phobians delivered tons and tons of explosives from grenades to primitive capital missiles. Recycling them yielded some extra materials.	400		'1180479051:dlc2/2 Pi Phobian planet 1, want credits.prefab
'title	'Phobian business representatives	'Phobian business representatives	35		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab; 960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"We are willing to bypass the Phobian laws regarding your illegal presence, to get some intergalactic credits. We can pay you in explosives. Perfectly normal, yes?"	'"We are willing to bypass the Phobian laws regarding your illegal presence, to get some intergalactic credits. We can pay you in explosives. Perfectly normal, yes?"	400		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab
'choiceText	'Trade [get 140 explosives for -100 credits]	'Trade [get 140 explosives for -100 credits]	100		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab
'newName3	'Phobian independent colony	'Phobian independent colony	25		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab; 1357527683:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'title	'Independent Phobian colony	'Independent Phobian colony	35		'95437423:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1340021236:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"Attention, traveller! Your presence is not allowed due to the cultural danger aliens like you present, but trade is still possible remotely. The local business leaders will contanct you shortly."	'"Attention, traveller! Your presence is not allowed due to the cultural danger aliens like you present, but trade is still possible remotely. The local business leaders will contanct you shortly."	600		'95437423:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1340021236:dlc2/2 Pi Phobian planet 3, give weapon.prefab

'2 Pi Phobian planet 2, wasteland.prefab
'text2	'There is no orbital defence. The entire surface of the planet is scarred and polluted by fairly recent chemical warfare, it seems all the larger settlements have been destroyed, and the planet is still heavily militarized, waging smaller wars here and there. We've decided to move on.	'There is no orbital defence. The entire surface of the planet is scarred and polluted by fairly recent chemical warfare, it seems all the larger settlements have been destroyed, and the planet is still heavily militarized, waging smaller wars here and there. We've decided to move on.	400		'674940317:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'reasonToDisplay	'scouting operation finished	'scouting operation finished	30		'dlc2/2 Pi Phobian planet 2, wasteland.prefab; dlc2/2 Pi Phobian planet 2, wasteland.prefab
'text	'"Attention, space traveller! The Phobian Empire does not want foreigners snooping around their planets, and our local Colony leaders support this decision. Go away or be destroyed by powerful orbital defences"	'"Attention, space traveller! The Phobian Empire does not want foreigners snooping around their planets, and our local Colony leaders support this decision. Go away or be destroyed by powerful orbital defences"	400		'1357527683:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'choiceText	'Print an atmospheric bot to snoop around [-30 synthetics]	'Print an atmospheric bot to snoop around [-30 synthetics]	100		'1357527683:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'text2	'There is no orbital defence and we recover materials used in the drone. The entire surface of the planet is scarred by fairly recent nuclear warfare, with larger settlements destroyed, and a few smaller wars between survivors here and there. We've decided to move on.	'There is no orbital defence and we recover materials used in the drone. The entire surface of the planet is scarred by fairly recent nuclear warfare, with larger settlements destroyed, and a few smaller wars between survivors here and there. We've decided to move on.	400		'674940316:dlc2/2 Pi Phobian planet 2, wasteland.prefab

'2 Pi Phobian planet 3, give weapon.prefab
'text2	'The weapon is delivered as promised.	'The weapon is delivered as promised.	400		'277579216:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"We are willing to bypass the Imperial laws regarding your illegal presence, to get some of those exotics everyone keeps talking about. We offer a prototype plasma weapon, one you cannot buy from anywhere but us."	'"We are willing to bypass the Imperial laws regarding your illegal presence, to get some of those exotics everyone keeps talking about. We offer a prototype plasma weapon, one you cannot buy from anywhere but us."	400		'960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'choiceText	'Trade [get a weapon for -5 exotics]	'Trade [get a weapon for -5 exotics]	100		'960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab

'Level 1b exit, capitaalo.prefab
'text	'The Capitaalo have acquired Rat Empire technology and are now "taxing" passing ships. A lot has changed while you were in cryosleep, Captain... we've been cut off from Intergalactic news for five years.	'The Capitaalo have acquired Rat Empire technology and are now "taxing" passing ships. A lot has changed while you were in cryosleep, Captain... we've been cut off from Intergalactic news for five years.	600		'432475790:dlc2/Level 1b exit, capitaalo.prefab
'title	'Capitaalo Gate Guard	'Capitaalo Gate Guard	35		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'text	'You've reached the Rat Empire long-range warpgate. We -the Capitaalo- have a contract to guard the gate from the criminally poor. You may pass by paying the standard fee. There's also another long-range warpgate in this sector, but its guarded by Rat officials, who always charge extra.	'You've reached the Rat Empire long-range warpgate. We -the Capitaalo- have a contract to guard the gate from the criminally poor. You may pass by paying the standard fee. There's also another long-range warpgate in this sector, but its guarded by Rat officials, who always charge extra.	400		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'choiceText	'Pay the fee, travel to next sector [-200 credits]	'Pay the fee, travel to next sector [-200 credits]	100		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'choiceText	'We cannot pay, yet we must pass [ready for battle]	'We cannot pay, yet we must pass [ready for battle]	100		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'text2	'"Go through now."	'"Go through now."	400		'463039704:dlc2/Level 1b exit, capitaalo.prefab
'reasonToDisplay	'"gate fee"	'"gate fee"	30		'dlc2/Level 1b exit, capitaalo.prefab
'text2	'The Capitaalo chief official was happy to receive exotics instead of credits.	'The Capitaalo chief official was happy to receive exotics instead of credits.	400		'200304835:dlc2/Level 1b exit, capitaalo.prefab

'Level 2b exit, Phobians.prefab
'text	'This gate is sealed by the Phobian Authority. It should be never used, as we don't know for sure what could happen if anyone goes through. Perhaps if anybody goes in, horrible monsters will come out. You may not pass.	'This gate is sealed by the Phobian Authority. It should be never used, as we don't know for sure what could happen if anyone goes through. Perhaps if anybody goes in, horrible monsters will come out. You may not pass.	400		'2130453199:dlc2/Level 2b exit, Phobians.prefab
'choiceText	'We have to pass [Prepare for battle]	'We have to pass [Prepare for battle]	100		'2130453199:dlc2/Level 2b exit, Phobians.prefab
'choiceText	'Leave the area	'Leave the area	100		'2130453199:dlc2/Level 2b exit, Phobians.prefab
'text	'I'm sorry for the poor Phobians. The only good thing I've heard about them is that some of the Insectoids find their flesh very tasty.	'I'm sorry for the poor Phobians. The only good thing I've heard about them is that some of the Insectoids find their flesh very tasty.	600		'1049150020:dlc2/Level 2b exit, Phobians.prefab

'Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab
'title	'Unknown pirates	'Unknown pirates	35		'2091024948:dlc2/Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab
'okButtonText	'Prepare for combat	'Prepare for combat	7		'2091024948:dlc2/Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab; 985480337:dlc2/Ambusher L3b Hunter Crab.prefab; 2075213179:dlc2/Ambusher L5b Slaver Hunters.prefab
'text	'Two smalll ships with unknown design are approaching tactical range, weapons hot.	'Two smalll ships with unknown design are approaching tactical range, weapons hot.	600		'2091024948:dlc2/Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab

'Ambusher L1b Capitaalo 1 and 4 decoy.prefab
'displayName	'Capitaalo fleet	'Capitaalo fleet	25		'772814998:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 77851549:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 219760125:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 838570141:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 1419969848:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; 1658456135:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 1694282189:dlc2/Ambusher L1b Capitaalo, cap 3.prefab; 1738906811:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'title	'Capitaalo tax officer	'Capitaalo tax officer	35		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; 965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab; 1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab
'text	'Attention, foreign vessel! Because of your presence here, our people are losing trade deals with the Rat empire. Our economy is in chaos! Your only way out of this is to pay for damages. We have a very big warship, by the way. We accept precious metals only.	'Attention, foreign vessel! Because of your presence here, our people are losing trade deals with the Rat empire. Our economy is in chaos! Your only way out of this is to pay for damages. We have a very big warship, by the way. We accept precious metals only.	400		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab
'choiceText	'Pay 150 metal	'Pay 150 metal	100		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab
'choiceText	'It seems the problem is in your economy, not us [prepare for combat].	'It seems the problem is in your economy, not us [prepare for combat].	100		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab
'text	'A very large ship, escorted by a smaller one. They seem to be using very primitive technology and are rapidly approaching tactical weapons range.	'A very large ship, escorted by a smaller one. They seem to be using very primitive technology and are rapidly approaching tactical weapons range.	600		'1945523522:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab
'text2	'Payment accepted. You must pay each of our tax fleets separately.	'Payment accepted. You must pay each of our tax fleets separately.	400		'1267353481:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 5510970:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 41337024:dlc2/Ambusher L1b Capitaalo, cap 3.prefab; 714298608:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 1333108624:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 1914508331:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab
'reasonToDisplay	'Capitaalo fleet paid	'Capitaalo fleet paid	30		'dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; dlc2/Ambusher L1b Capitaalo, cap 3.prefab

'Ambusher L1b Capitaalo, 1 plus 2.prefab
'text	'Haltl! Your presence is destabilizing our financial system. You have already thrown thousands of honest businessmen into extreme poverty and hunger, merely by passing this space! You must immediately pay for these damages in gold or we will be forced to destroy you.	'Haltl! Your presence is destabilizing our financial system. You have already thrown thousands of honest businessmen into extreme poverty and hunger, merely by passing this space! You must immediately pay for these damages in gold or we will be forced to destroy you.	400		'1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab
'choiceText	'Pay 120 metal	'Pay 120 metal	100		'1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab
'choiceText	'It seems the problem is in your financial system, not us [prepare for combat].	'It seems the problem is in your financial system, not us [prepare for combat].	100		'1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab
'text	'Two vessels approaching tactical weapons range. They seem to be using very primitive technology.	'Two vessels approaching tactical weapons range. They seem to be using very primitive technology.	600		'1392468649:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 445194724:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab

'Ambusher L1b Capitaalo, 2x cap 1.prefab
'text	'Alien vessel! By driving here, you are endangering our entire economy and trade with Rats! You must immediately pay for these damages in gold or we will be forced to destroy you.	'Alien vessel! By driving here, you are endangering our entire economy and trade with Rats! You must immediately pay for these damages in gold or we will be forced to destroy you.	400		'145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab
'choiceText	'Pay 80 metal	'Pay 80 metal	100		'145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab
'text	'Two small vessels approaching tactical weapons range. They seem to be using very primitive technology.	'Two small vessels approaching tactical weapons range. They seem to be using very primitive technology.	600		'2011278665:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab

'Ambusher L1b Capitaalo, 2x cap 2.prefab
'text	'Can you hear me? Is this thing working? Good. The appearance of your ship on our radars have thrown our markets into chaos. People are losing jobs, but you can still avert catastrophy if you send us some precious metals.	'Can you hear me? Is this thing working? Good. The appearance of your ship on our radars have thrown our markets into chaos. People are losing jobs, but you can still avert catastrophy if you send us some precious metals.	400		'726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab
'choiceText	'Pay 100 metal	'Pay 100 metal	100		'726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab
'choiceText	'[prepare for combat]	'[prepare for combat]	100		'726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; 467608435:dlc2/Ambusher L7b Moralors, medium and small.prefab; 965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 1148403675:dlc2/Ambusher L6b Phobian pirates x 3.prefab; 1634832061:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 2122305783:dlc2/Ambusher L9b Moralors, large and small.prefab

'Ambusher L1b Capitaalo, cap 3 and 1.prefab
'text	'You are trespassing our economic space, and your disturbance has caused panic in our stock markets. You must immediately pay for these damages in precious metals or we will be forced to destroy you.	'You are trespassing our economic space, and your disturbance has caused panic in our stock markets. You must immediately pay for these damages in precious metals or we will be forced to destroy you.	400		'965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab
'text	'Two ships approaching tactical weapons range. They seem to be using very primitive technology.	'Two ships approaching tactical weapons range. They seem to be using very primitive technology.	600		'683681011:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab

'Ambusher L1b Capitaalo, cap 3.prefab
'text	'Our capital investments just crashed into sub-prime value range, and it is specifically your fault. If your ship had not stranded to this space, the status quo would have continued. Only gold can solve the problem now. Gold that you give us.	'Our capital investments just crashed into sub-prime value range, and it is specifically your fault. If your ship had not stranded to this space, the status quo would have continued. Only gold can solve the problem now. Gold that you give us.	400		'1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab
'text	'A single, primitive ship is approaching tactical weapons range.	'A single, primitive ship is approaching tactical weapons range.	600		'719507065:dlc2/Ambusher L1b Capitaalo, cap 3.prefab

'Ambusher L1b or 2b Moralor, 1 small.prefab
'displayName	'Moralor fleet	'Moralor fleet	25		'1548128086:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 911075884:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 1425664520:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab; 1530996966:dlc2/Ambusher L9b Moralors, large and small.prefab; 1872518802:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; 2023783266:dlc2/Ambusher L7b Moralors, medium and small.prefab
'text	'A single advanced ships approaching, armed with two heavy energy weapons.	'A single advanced ships approaching, armed with two heavy energy weapons.	600		'976637489:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab
'title	'Moralor Tester	'Moralor Tester	35		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab
'text	'We are the Moralors, the final guardians assuring this universe remains profoundly ethical. We do this by seeking out evil and destroying it. To test your morality, we have a simple test for you: should species with tentacles sleep so that their tentacles are on the left? Or on the right?	'We are the Moralors, the final guardians assuring this universe remains profoundly ethical. We do this by seeking out evil and destroying it. To test your morality, we have a simple test for you: should species with tentacles sleep so that their tentacles are on the left? Or on the right?	400		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab
'choiceText	'Tentacles should be on the right.	'Tentacles should be on the right.	100		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'choiceText	'Tentacles on the left, of course.	'Tentacles on the left, of course.	100		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'choiceText	'We don't have time for your pseudo-morality [prepare for combat]	'We don't have time for your pseudo-morality [prepare for combat]	100		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab; 2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab
'okButtonText	'What? [prepare for combat]	'What? [prepare for combat]	7		'1558037196:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 920984994:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'text	'Aha! Your answer was incrorrect, and thus, the universe has spoken: those who do not know the simplest of truths (especially that the right way to sleep is tentacles on the left, tail on the right) must be put do death. Everybody knows that the greatest blasphemy is perverting the holy union of consciousness and sleep with disgusting body positions.	'Aha! Your answer was incrorrect, and thus, the universe has spoken: those who do not know the simplest of truths (especially that the right way to sleep is tentacles on the left, tail on the right) must be put do death. Everybody knows that the greatest blasphemy is perverting the holy union of consciousness and sleep with disgusting body positions.	600		'1558037196:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 920984994:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'title	'The Moralors are pleased	'The Moralors are pleased	35		'594408672:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 2104840118:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'text2	'"Ahh, such pleasure to meet an enlightened group. That is correct, indeed the only moral way to sleep is tentacles on the left, tail on the right. Sleeping differently is the most disgusting offence, deeply blasphemous to the god who must witness it, and of course endangering the moral integrity of our Moralor culture. Go in peace."	'"Ahh, such pleasure to meet an enlightened group. That is correct, indeed the only moral way to sleep is tentacles on the left, tail on the right. Sleeping differently is the most disgusting offence, deeply blasphemous to the god who must witness it, and of course endangering the moral integrity of our Moralor culture. Go in peace."	400		'594408672:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 2104840118:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'choiceTexts	'[Attack these religious psychopaths]	'[Attack these religious psychopaths]	100		'594408672:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 2104840118:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab

'Ambusher L1b or 2b Phobian pirates x 2.prefab
'title	'Phobian Pushers	'Phobian Pushers	35		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text	'We offer you a chance to buy an exotic crystal. If you refuse, our heavy projectile firepower will penetrate your shields, ensuring considerable loss of material and crew, even if you defeat us. Accept this offer instead, and we can all peacefully go home. What do you say?	'We offer you a chance to buy an exotic crystal. If you refuse, our heavy projectile firepower will penetrate your shields, ensuring considerable loss of material and crew, even if you defeat us. Accept this offer instead, and we can all peacefully go home. What do you say?	400		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'choiceText	'Buy 1 exotics for 100 credits	'Buy 1 exotics for 100 credits	100		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'choiceText	'We won't yield to extortion, however elaborate [prepare for combat]	'We won't yield to extortion, however elaborate [prepare for combat]	100		'1532034472:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text	'Two small vessels approaching tactical weapons range. No high-energy weapons detected.	'Two small vessels approaching tactical weapons range. No high-energy weapons detected.	600		'1250560073:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
'text	'"Ah, you do not have enough cash? Then we must unfortunately make you into scrap. Nothing personal, of course. Good bye."	'"Ah, you do not have enough cash? Then we must unfortunately make you into scrap. Nothing personal, of course. Good bye."	600		'1634832061:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 1148403675:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text2	'The "exotic" crystal we receive in return for our credits turns out to be a fake one, made of synthetic materials with no exotic properties.	'The "exotic" crystal we receive in return for our credits turns out to be a fake one, made of synthetic materials with no exotic properties.	400		'572390032:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab
