# RST localization TSV file for a build 1.3.6rc
#
# All files with tsv extension from the following directories are read on game start (relative to game installation):
#   Mods/
#   ../../workshop/content/812040/
#
# There are two ways to tell the game to use a specific language. One is by using cmd line arg
# "--language=German" and another option is to choose from the Language dropdown in the game.
#
# The game ONLY parses lines that:
# 1. start with ':' character. These are processing directives.
# 2. have at least 3 tab separated columns. These are dictionary entries. All strings are in UTF-8 encoding.
#
# Columns:
#  * "context/comment" just gives a hint where this line is in the game, it's not imported.
#  * "key" (case-sensitive) is a phrase matched in the game. If localization context is given (use-in column), both context and key must match.
#  * "translation" is what will be shown in the game.
#  * "max-len" is a hint how many characters approximately can the translation be without truncation or overflow. Not imported.
#  * "use-in" is empty by default, but localization context ids from usable-in column can be copied here to constrain where this line will be used.
#  * "usable-in" is a list of all localization context ids that can be copied into use-in. Not imported.
#
# use-in column format examples:
#  2035575234:Menu panel.prefab - points to one particular part inside menu prefab (that part has localization context id 2035575234)
#  310402963:Menu panel.prefab  - points to a different part inside menu prefab
#  2035575234:Menu panel.prefab; 310402963:Menu panel.prefab - points to both parts in menu panel
#  2035575234; 310402963 - short version of the previous line
#  2035575234:credits button in menu; 310402963:ship label in menu - same as previous line, but it shows that what's after ':' doesn't matter
#  Beam.cs - some parts of the game don't have loc ctx id, this is an example of it, it can't be used in use-in column
#
# A localization context is a non-changing integer assigned to some particular part of the game. The integer may be
# followed by some text, separated by ':', it is there just for commenting purposes and is ignored by the game.
#
# A longer guide how to edit this file and publish it in Steam Workshop is here:
# https://steamcommunity.com/sharedfiles/filedetails/?id=2244605825

# Display name should be the first non-comment, non-empty line. It marks that all the following lines are in that language.
:displayName English

# Plurals forms are used like described here, except the separator is '|'
# https://developer.mozilla.org/en-US/docs/Mozilla/Localization/Localization_and_Plurals#Developing_with_PluralForm
:mozillaPluralRuleNumber 1

# Columns (only the translation and use-in columns should be edited):
# comment	key	translation	max-len	use-in	usable-in

Beam.cs
	DEFLECT	DEFLECT	0		Beam.cs; Projectile.cs
	Idle	Idle	0		Crewmember.cs; 40748862:Drone DIY mincer pirates.prefab; 56750082:Drone DIY firesafety pirates.prefab; 85873966:Human crew adventurer.prefab; 106092601:Squid crew.prefab; 107982400:Drone DIY gunnery.prefab; 121491827:Testcrew 2.prefab; 122402207:Gitchanki crew.prefab; 182882154:Drone DIY repairer pirates.prefab; 190195895:Heavy security drone.prefab; 229081020:Drone DIY repairer.prefab; 273813254:Larva big.prefab; 341953427:Drone DIY guard pirates.prefab; 421109168:Drone DIY science.prefab; 455069194:Rat crew.prefab; 470102509:Drone DIY gunjunker enemy.prefab; 486815100:Drone DIY fire safety clawed.prefab; 488555786:Redripper crew.prefab; 490627374:Moleculaati.prefab; 702891534:Testcrew 3.prefab; 715571627:Woman cat crew.prefab; 735284731:Cat1.prefab; 745155399:Drone DIY gunjunker.prefab; 768455465:Beedroid crew.prefab; 791329320:Drone DIY firesafety.prefab; 822317379:Larva small.prefab; 826379097:Combat Drone Humanoid.prefab; 864651417:GorMor crew.prefab; 928833842:Spideraa crew.prefab; 1005466904:Human crew.prefab; 1080556287:Insectoid crew.prefab; 1106176061:Testcrew 4.prefab; 1179088392:Drone DIY sensor.prefab; 1348200645:Lizardman crew.prefab; 1349353450:Drone DIY gunnery pirates cannon.prefab; 1349473499:Drone pet.prefab; 1351800556:Drone tigerspider pirates.prefab; 1370232170:Slavers crew.prefab; 1378398960:Yu-Ee crew.prefab; 1385225782:Grippy crew.prefab; 1415638274:Rat crew cook.prefab; 1444414821:Drone CT1 maintenance.prefab; 1481089982:Drone tigerspider.prefab; 1502599448:sdlc/Dog.prefab; 1559583687:Drone DIY guard.prefab; 1589791427:Drone CT2 gunnery.prefab; 1680322829:Drone CT1 maintenance clawed.prefab; 1687575768:Testcrew 5.prefab; 1701486595:Slime pet.prefab; 1753673837:Insectoidian crew.prefab; 1755418895:Drone CT2 gunnery clawed.prefab; 1821850499:Mantis crew.prefab; 1864623772:Pirates humanoid crew.prefab; 1865690948:Testcrew 1.prefab; 1884929318:Drone fire safety.prefab; 2016189783:Man cat crew.prefab; 2020629126:EmperorBanks crew.prefab
	Dreaming	Dreaming	0		Crewmember.cs; 40748862:Drone DIY mincer pirates.prefab; 56750082:Drone DIY firesafety pirates.prefab; 85873966:Human crew adventurer.prefab; 106092601:Squid crew.prefab; 107982400:Drone DIY gunnery.prefab; 121491827:Testcrew 2.prefab; 122402207:Gitchanki crew.prefab; 182882154:Drone DIY repairer pirates.prefab; 190195895:Heavy security drone.prefab; 229081020:Drone DIY repairer.prefab; 273813254:Larva big.prefab; 341953427:Drone DIY guard pirates.prefab; 421109168:Drone DIY science.prefab; 455069194:Rat crew.prefab; 470102509:Drone DIY gunjunker enemy.prefab; 486815100:Drone DIY fire safety clawed.prefab; 488555786:Redripper crew.prefab; 490627374:Moleculaati.prefab; 702891534:Testcrew 3.prefab; 715571627:Woman cat crew.prefab; 735284731:Cat1.prefab; 745155399:Drone DIY gunjunker.prefab; 768455465:Beedroid crew.prefab; 791329320:Drone DIY firesafety.prefab; 822317379:Larva small.prefab; 826379097:Combat Drone Humanoid.prefab; 864651417:GorMor crew.prefab; 928833842:Spideraa crew.prefab; 1005466904:Human crew.prefab; 1080556287:Insectoid crew.prefab; 1106176061:Testcrew 4.prefab; 1179088392:Drone DIY sensor.prefab; 1348200645:Lizardman crew.prefab; 1349353450:Drone DIY gunnery pirates cannon.prefab; 1349473499:Drone pet.prefab; 1351800556:Drone tigerspider pirates.prefab; 1370232170:Slavers crew.prefab; 1378398960:Yu-Ee crew.prefab; 1385225782:Grippy crew.prefab; 1415638274:Rat crew cook.prefab; 1444414821:Drone CT1 maintenance.prefab; 1481089982:Drone tigerspider.prefab; 1502599448:sdlc/Dog.prefab; 1559583687:Drone DIY guard.prefab; 1589791427:Drone CT2 gunnery.prefab; 1680322829:Drone CT1 maintenance clawed.prefab; 1687575768:Testcrew 5.prefab; 1701486595:Slime pet.prefab; 1753673837:Insectoidian crew.prefab; 1755418895:Drone CT2 gunnery clawed.prefab; 1821850499:Mantis crew.prefab; 1864623772:Pirates humanoid crew.prefab; 1865690948:Testcrew 1.prefab; 1884929318:Drone fire safety.prefab; 2016189783:Man cat crew.prefab; 2020629126:EmperorBanks crew.prefab
	Operating module	Operating module	0		Crewmember.cs; 40748862:Drone DIY mincer pirates.prefab; 56750082:Drone DIY firesafety pirates.prefab; 85873966:Human crew adventurer.prefab; 106092601:Squid crew.prefab; 107982400:Drone DIY gunnery.prefab; 121491827:Testcrew 2.prefab; 122402207:Gitchanki crew.prefab; 182882154:Drone DIY repairer pirates.prefab; 190195895:Heavy security drone.prefab; 229081020:Drone DIY repairer.prefab; 273813254:Larva big.prefab; 341953427:Drone DIY guard pirates.prefab; 421109168:Drone DIY science.prefab; 455069194:Rat crew.prefab; 470102509:Drone DIY gunjunker enemy.prefab; 486815100:Drone DIY fire safety clawed.prefab; 488555786:Redripper crew.prefab; 490627374:Moleculaati.prefab; 702891534:Testcrew 3.prefab; 715571627:Woman cat crew.prefab; 735284731:Cat1.prefab; 745155399:Drone DIY gunjunker.prefab; 768455465:Beedroid crew.prefab; 791329320:Drone DIY firesafety.prefab; 822317379:Larva small.prefab; 826379097:Combat Drone Humanoid.prefab; 864651417:GorMor crew.prefab; 928833842:Spideraa crew.prefab; 1005466904:Human crew.prefab; 1080556287:Insectoid crew.prefab; 1106176061:Testcrew 4.prefab; 1179088392:Drone DIY sensor.prefab; 1348200645:Lizardman crew.prefab; 1349353450:Drone DIY gunnery pirates cannon.prefab; 1349473499:Drone pet.prefab; 1351800556:Drone tigerspider pirates.prefab; 1370232170:Slavers crew.prefab; 1378398960:Yu-Ee crew.prefab; 1385225782:Grippy crew.prefab; 1415638274:Rat crew cook.prefab; 1444414821:Drone CT1 maintenance.prefab; 1481089982:Drone tigerspider.prefab; 1502599448:sdlc/Dog.prefab; 1559583687:Drone DIY guard.prefab; 1589791427:Drone CT2 gunnery.prefab; 1680322829:Drone CT1 maintenance clawed.prefab; 1687575768:Testcrew 5.prefab; 1701486595:Slime pet.prefab; 1753673837:Insectoidian crew.prefab; 1755418895:Drone CT2 gunnery clawed.prefab; 1821850499:Mantis crew.prefab; 1864623772:Pirates humanoid crew.prefab; 1865690948:Testcrew 1.prefab; 1884929318:Drone fire safety.prefab; 2016189783:Man cat crew.prefab; 2020629126:EmperorBanks crew.prefab
	crew	crew	0		Crewmember.cs; ShipModule.cs
	{0} suffered hunger damage	{0} suffered hunger damage	0		Crewmember.cs
	HP	HP	0		Crewmember.cs; Door.cs; Projectile.cs; ProjectileStatusVisualizers.cs; Ship.cs; ShipModule.cs; SpacePod.cs; 901368368:Ship status visualizers.prefab
	Loading weapon	Loading weapon	0		Crewmember.cs
	hungry	hungry	0		Crewmember.cs

CryosleepModule.cs
	{1} has healed 1 HP for {0}	{1} has healed 1 HP for {0}	0		CryosleepModule.cs
	{0} generated {1} while dreaming in {2}	{0} generated {1} while dreaming in {2}	0		CryosleepModule.cs
plural	credit|credits	credit|credits	0		CryosleepModule.cs; ShopResourceManager.cs

DamageToken.cs
	Not repairable	Not repairable	0		DamageToken.cs
	Repaired in {0:0.0}s	Repaired in {0:0.0}s	0		DamageToken.cs
	ship HP repairs	ship HP repairs	0		DamageToken.cs
	Represents permanent damage to ship max hp: {0}	Represents permanent damage to ship max hp: {0}	0		DamageToken.cs
	Ship damage: {0}	Ship damage: {0}	0		DamageToken.cs
	Cannot be repaired	Cannot be repaired	0		DamageToken.cs
	Note: repairs are cheaper in stations	Note: repairs are cheaper in stations	0		DamageToken.cs
	Automatic repair of ship HP by repair officers is currently switched off\n(damage tokens can be still repaired by giving manual repair commands to crew)	Automatic repair of ship HP by repair officers is currently switched off\n(damage tokens can be still repaired by giving manual repair commands to crew)	0		DamageToken.cs

Door.cs
	door HP repairs	door HP repairs	0		Door.cs
	locked	locked	0		Door.cs
	Door [locked]	Door [locked]	0		Door.cs
	Door	Door	0		Door.cs; HoverPanel.cs; 937848648:door (small).prefab

HoverPanel.cs
	DAMAGE	DAMAGE	0		HoverPanel.cs
	Ignores shield	Ignores shield	0		HoverPanel.cs
	Ship	Ship	0		HoverPanel.cs; 157113175:Shop panel tabbed.prefab; 289248170:Shop panel tabbed.prefab; 310402963:Menu panel.prefab; 912564124:Shop panel tabbed.prefab; 1039141826:Shop panel tabbed.prefab; 1678142440:Shop panel tabbed.prefab; 1937039015:Shop panel tabbed.prefab
	Module	Module	0		HoverPanel.cs; 1020099820:Module actions panel.prefab
	Shield	Shield	0		HoverPanel.cs; 565671530:Crew actions panel.prefab
	EMP	EMP	0		HoverPanel.cs
	CAN'T SHOOT	CAN'T SHOOT	0		HoverPanel.cs
	n/a	n/a	0		HoverPanel.cs
	Distance {0}ru	Distance {0}ru	0		HoverPanel.cs
	CAN'T MOVE	CAN'T MOVE	0		HoverPanel.cs
	Credits	Credits	0		HoverPanel.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 2035575234:Menu panel.prefab

MainQuest.cs
	tutorial	tutorial	0		MainQuest.cs

PlayerData.cs
	Fuel	Fuel	0		PlayerData.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 316796419:Help panel.prefab; 626047328:Results panel.prefab; 1930413548:Help panel.prefab
	Organics	Organics	0		PlayerData.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 1484696824:Results panel.prefab; 1860130861:Help panel.prefab; 2052708481:Help panel.prefab
	Explosives	Explosives	0		PlayerData.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 1194324281:Help panel.prefab; 1382841629:Results panel.prefab; 2140800361:Help panel.prefab
	Exotics	Exotics	0		PlayerData.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 2015914164:Help panel.prefab
	Synthetics	Synthetics	0		PlayerData.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 1512281493:Help panel.prefab; 1598776758:Results panel.prefab; 2120087931:Help panel.prefab
	Metals	Metals	0		PlayerData.cs; ResourceValueGroup.cs; ResourceValueGroup.cs; PlayerPanel.cs; 1233129399:Help panel.prefab; 1311349368:Help panel.prefab; 1544290198:Results panel.prefab
	Died during space travel	Died during space travel	0		PlayerData.cs
	Died in combat	Died in combat	0		PlayerData.cs
	Died in {0}	Died in {0}	0		PlayerData.cs

PlayerFleet.cs
	Can't fly that close to a star	Can't fly that close to a star	0		PlayerFleet.cs
	Ship was hit by an asteroid. HP -{0}	Ship was hit by an asteroid. HP -{0}	0		PlayerFleet.cs

CheckBattleStatus.cs
	--- BATTLE WITH INTRUDERS END ---	--- BATTLE WITH INTRUDERS END ---	0		CheckBattleStatus.cs
	--- ESCAPED BATTLE ---	--- ESCAPED BATTLE ---	0		CheckBattleStatus.cs
	--- ALL ENEMY SHIPS ESCAPED ---	--- ALL ENEMY SHIPS ESCAPED ---	0		CheckBattleStatus.cs
	--- BATTLE END ---	--- BATTLE END ---	0		CheckBattleStatus.cs

CreateStarmapByTemplate.cs
	Star	Star	0		CreateStarmapByTemplate.cs

CrewRepairs.cs
	Warning, repair stopped. Not enough resources	Warning, repair stopped. Not enough resources	0		CrewRepairs.cs

DequeueNextComtip.cs
	New message displayed. {0} left to display	New message displayed. {0} left to display	0		DequeueNextComtip.cs
plural	message|messages	message|messages	0		DequeueNextComtip.cs

DoChoiceButtons.cs
